词目,tw,ch,en
回应,書面回應綱要,书面回应纲要,written skeleton reply
地位,代替其父母地位的人,代替其父母地位的人,other person standing in loco parentis to him
,享有特權和備受信任的地位,享有特权和备受信任的地位,privileged and trusted position
多次,多次犯入屋犯法罪,多次犯入屋犯法罪,multiple burglaries
多项,犯下多項罪行,犯下多项罪行,multiplicity of offences
,多項控罪,多项控罪,multiple offences
,多項罪行的控罪,多项罪行的控罪,duplicity of charge
好的,沒有好的成功機會的上訴案件,没有好的成功机会的上诉案件,unmeritorious appeal
字迹,字跡鑑證專家,字迹鉴证专家,handwriting expert
字据,關於……三合會社團的……字據,关于……三合会社团的……字据,writings ... relating to ... triad society
存在,有版權存在,有版权存在,subsistence of copyright
存疑,存疑裁決,存疑裁决,open verdict
存档,將案由述要送交存檔,将案由述要送交存档,file a case
守行为,自簽守行為,自签守行为,bind over to keep the peace ... his own recognizances
安排,歸還罪犯安排,归还罪犯安排,rendition arrangement
年龄,串謀促致年齡在21歲以下的女童與人非法性交,串谋促致年龄在21岁以下的女童与人非法性交,conspiracy to procure girls under 21 to have unlawful sexual intercourse
成功,成功機會,成功机会,merits
,沒有好的成功機會的上訴案件,没有好的成功机会的上诉案件,unmeritorious appeal
成份,毒品的成份,毒品的成份,narcotic content
成因,主要的成因,主要的成因,operative cause
成年,成年的初犯者,成年的初犯者,first offender of full age
成果,分享訴訟成果,分享诉讼成果,champerty
成为,令……成為無效,令……成为无效,nullify
成疑,令誠信成疑,令诚信成疑,discredited
扣减,削減可扣減的刑期,削减可扣减的刑期,reduced discount
收受,收受賭注者,收受赌注者,bookmaker
有力,有力……的推定,有力……的推定,strong ... presumption
,有力的求情因素,有力的求情因素,strong mitigating circumstances
有利,有利指引,有利指引,favourable direction
有效,有效的判刑選擇,有效的判刑选择,valid sentencing option
有理可依,知情和有理可依的裁決,知情和有理可依的裁决,informed and reasoned verdict
有损信誉,有損信譽的作為,有损信誉的作为,discreditable act
有罪,正式承認有罪,正式承认有罪,formal admission of guilt
,有罪的推論,有罪的推论,inference of guilt
,有罪證明,有罪证明,proof of guilt
,有罪證據,有罪证据,evidence of guilt
,自知有罪,自知有罪,realisation of guilt
,推論被告有罪,推论被告有罪,inference of guilt
,意識自己有罪,意识自己有罪,consciousness of guilt
有资格,有資格……作……證人,有资格……作……证人,competent witness
,有資格作證的人,有资格作证的人,competent witness
有违,串謀作出有違公德的行為,串谋作出有违公德的行为,conspiracy to outrage public decency
,作出有違公德的行為,作出有违公德的行为,commit an act outraging public decency
有预谋,有預謀的行為,有预谋的行为,premeditated act
,有預謀的罪行,有预谋的罪行,premeditated offence
有价,串謀以欺騙手段促致有價產權書的簽立,串谋以欺骗手段促致有价产权书的签立,conspiracy to procure the execution of valuable securities by deception
有权,有權採取適當行動的人,有权采取适当行动的人,person who may have power to take appropriate action
,有權提出……上訴,有权提出……上诉,appeal ... competent
次级,普通法的次級參與原則,普通法的次级参与原则,common law doctrine of secondary participation
死亡,不幸以致死亡,不幸以致死亡,misadventure
,須予報告的死亡個案,须予报告的死亡个案,reportable death
,須呈報的死亡個案,须呈报的死亡个案,reportable death
死因,死因不明,死因不明,open verdict
死于,死於不幸,死于不幸,misadventure
,死於胎中的個案,死于胎中的个案,still birth
污点,有污點的證據,有污点的证据,tainted evidence
,污點證人,污点证人,tainted witness
考虑,可行和可供考慮的判罰方式,可行和可供考虑的判罚方式,feasible sentencing option
,判刑時須考慮的事宜,判刑时须考虑的事宜,sentencing considerations
,把法律問題提交上訴法庭考慮,把法律问题提交上诉法庭考虑,reserve question of law for consideration of Court of Appeal
,保留法律問題待上訴法庭考慮,保留法律问题待上诉法庭考虑,reserve question of law for consideration of Court of Appeal
,經考慮兼知情的決定,经考虑兼知情的决定,deliberate and informed decision
,整體地考慮刑期,整体地考虑刑期,global view of sentence
自己,向自己作出提醒,向自己作出提醒,remind oneself
,在替自己辯護時作供,在替自己辩护时作供,testify in one's own defence
,免使自己入罪的原則,免使自己入罪的原则,principle against self-incrimination
,免導致自己或配偶入罪的特權,免导致自己或配偶入罪的特权,privilege against incrimination of self or spouse
,導致自己……入罪,导致自己……入罪,incrimination of self
自行,自行,自行,on ... own motion
自我,不必自我指證的原則,不必自我指证的原则,principle against self-incrimination
,自我引導,自我引导,self-direction
自招,自招嫌疑,自招嫌疑,brought suspicion upon himself
,自招懷疑,自招怀疑,brought suspicion upon himself
自知,自知有罪,自知有罪,realisation of guilt
自然,自然正義法則,自然正义法则,rules of natural justice
,自然原因,自然原因,natural causes
自新,自新計劃,自新计划,rehabilitative programme
,罪犯自新,罪犯自新,rehabilitation of offenders
自卫,自衞,自卫,self-defence
自签,自簽守行為,自签守行为,bind over to keep the peace ... his own recognizances
,自簽擔保,自签担保,enter into ... recognizance
,自簽擔保……以保證遵守法紀,自签担保……以保证遵守法纪,bind over to keep the peace ... his own recognizances
自愿,自願供詞,自愿供词,voluntary statement
,自願供認,自愿供认,voluntary confession
自辩,自辯,自辩,in person
行事,行事手法,行事手法,modus operandi
,偏離指引行事,偏离指引行事,departure from the guideline
行使,行使示威的憲法權利,行使示威的宪法权利,exercise of constitutional right to demonstrate
行政,行政酌情決定,行政酌情决定,executive discretion
,行政機關給予赦免,行政机关给予赦免,executive clemency
行为,公職人員行為失當,公职人员行为失当,misconduct in public office
,失當行為,失当行为,misconduct
,失當行為,失当行为,misfeasance
,犯罪行為,犯罪行为,actus reus
,在道路上作出狂暴行為,在道路上作出狂暴行为,road rage
,有預謀的行為,有预谋的行为,premeditated act
,串謀作出有違公德的行為,串谋作出有违公德的行为,conspiracy to outrage public decency
,作出……擾亂秩序的行為,作出……扰乱秩序的行为,behaves in a ... disorderly manner
,作出有違公德的行為,作出有违公德的行为,commit an act outraging public decency
,明顯失職行為,明显失职行为,flagrant and incompetent conduct
,明顯的行為,明显的行为,overt act
,侮辱或不檢的行為,侮辱或不检的行为,insulting or disorderly conduct
,負刑責的不當行為,负刑责的不当行为,culpable misconduct
,破壞誠信的行為,破坏诚信的行为,act in breach of trust
,猥褻行為,猥亵行为,indecent conduct
,經同意而作出的行為,经同意而作出的行为,consensual conduct
,違反誠信的行為,违反诚信的行为,act in breach of trust
,違禁行為,违禁行为,prohibited acts
,構成罪行的不當行為,构成罪行的不当行为,culpable misconduct
,整體犯罪行為,整体犯罪行为,overall criminality
,擾亂秩序的行為,扰乱秩序的行为,disorderly conduct
,藉公職作出不當行為,藉公职作出不当行为,misconduct in public office
,簽保以保證保持行為良好,签保以保证保持行为良好,bind over to be of good behaviour
行为能力,犯罪的精神上行為能力,犯罪的精神上行为能力,mental capacity to commit offence
行动,一致行動,一致行动,acting in concert
,可具有採取適當行動的權力的人,可具有采取适当行动的权力的人,person who may have power to take appropriate action
,犯罪行動,犯罪行动,criminal enterprise
,有權採取適當行動的人,有权采取适当行动的人,person who may have power to take appropriate action
,秘密行動,秘密行动,covert operation
串谋,共同串謀者,共同串谋者,co-conspirator
,串謀,串谋,conspiracy
,串謀以欺騙手段促致有價產權書的簽立,串谋以欺骗手段促致有价产权书的签立,conspiracy to procure the execution of valuable securities by deception
,串謀在賭博時作弊,串谋在赌博时作弊,conspiracy to cheat at gambling
,串謀作出有違公德的行為,串谋作出有违公德的行为,conspiracy to outrage public decency
,串謀作出傾向並意圖妨礙司法公正的作為,串谋作出倾向并意图妨碍司法公正的作为,conspiracy to do an act or acts tending and intended to pervert the course of public justice
,串謀妨礙司法公正,串谋妨碍司法公正,conspiracy to pervert the course of justice
,串謀非法禁錮,串谋非法禁锢,conspiracy to commit false imprisonment
,串謀促致年齡在21歲以下的女童與人非法性交,串谋促致年龄在21岁以下的女童与人非法性交,conspiracy to procure girls under 21 to have unlawful sexual intercourse
,串謀促致流產,串谋促致流产,conspiracy to procure a miscarriage
,串謀將人強行帶走或禁錮而意圖取得贖金,串谋将人强行带走或禁锢而意图取得赎金,conspiracy to forcibly take away or detain a person with intent to procure a ransom
,串謀強行禁錮,串谋强行禁锢,conspiracy to commit forcible detention
,串謀敗壞公眾道德,串谋败坏公众道德,conspiracy to corrupt public morals
,串謀詐騙罪,串谋诈骗罪,conspiracy to defraud
,串謀綁架,串谋绑架,conspiracy to kidnap
,法定串謀罪,法定串谋罪,statutory conspiracy
,促成串謀,促成串谋,in furtherance of the conspiracy
,將串謀[計劃]付諸實行,将串谋[计划]付诸实行,in furtherance of the conspiracy
,普通法串謀罪,普通法串谋罪,common law conspiracy
,落實串謀,落实串谋,in furtherance of the conspiracy
串谋者,串謀者,串谋者,conspirator
位置,受人信任的位置,受人信任的位置,position of trust
住宅,住宅爆竊案,住宅爆窃案,domestic burglary
,進入住宅犯入屋犯法罪,进入住宅犯入屋犯法罪,domestic burglary
佐证,無佐證證供,无佐证证供,uncorroborated evidence
作出,作出及簽署案件呈述,作出及签署案件呈述,state and sign a case
,作出有違公德的行為,作出有违公德的行为,commit an act outraging public decency
,作出傾向並意圖妨礙司法公正的作為,作出倾向并意图妨碍司法公正的作为,doing an act tending and intended to pervert the course of public justice
,作出準備……的作為,作出准备……的作为,doing an act preparatory to ...
,就被告人的品格作出全面指引,就被告人的品格作出全面指引,full character direction
作供,在替自己辯護時作供,在替自己辩护时作供,testify in one's own defence
作为,公開的作為,公开的作为,overt act
,以合理的努力作為免責辯護,以合理的努力作为免责辩护,defence of reasonable diligence
,以聲稱擁有權利作為辯護,以声称拥有权利作为辩护,defence of claim of right
,刑事作為,刑事作为,criminal act
,有損信譽的作為,有损信誉的作为,discreditable act
,串謀作出傾向並意圖妨礙司法公正的作為,串谋作出倾向并意图妨碍司法公正的作为,conspiracy to do an act or acts tending and intended to pervert the course of public justice
,作出傾向並意圖妨礙司法公正的作為,作出倾向并意图妨碍司法公正的作为,doing an act tending and intended to pervert the course of public justice
,作出準備……的作為,作出准备……的作为,doing an act preparatory to ...
,作為……不作為,作为……不作为,acts ... omissions
,作為及意圖,作为及意图,acts and intents
,單獨一項作為或一連串作為,单独一项作为或一连串作为,a single act or series of acts
作弊,串謀在賭博時作弊,串谋在赌博时作弊,conspiracy to cheat at gambling
作废,在上訴裁決前所服刑期作廢,在上诉裁决前所服刑期作废,loss of time
作证,不可被強迫作證,不可被强迫作证,not compellable to give evidence
,有資格作證的人,有资格作证的人,competent witness
,兒童證人的作證資格,儿童证人的作证资格,competency of a child witness
,傳喚他人作證,传唤他人作证,call and give evidence
免予,免予起訴,免予起诉,immunity from prosecution
,免予起訴書,免予起诉书,immunity
,獲免予起訴的從犯,获免予起诉的从犯,accomplice with immunity
,獲免予起訴的證人,获免予起诉的证人,immunised witness
免使,免使自己入罪的原則,免使自己入罪的原则,principle against self-incrimination
免责,免責辯護,免责辩护,defence
,法定免責辯護,法定免责辩护,statutory defence
,法定的免責辯護理由,法定的免责辩护理由,statutory defence
免责辩护,以合理的努力作為免責辯護,以合理的努力作为免责辩护,defence of reasonable diligence
免导致,免導致自己或配偶入罪的特權,免导致自己或配偶入罪的特权,privilege against incrimination of self or spouse
判刑,已確立的判刑政策,已确立的判刑政策,settled sentencing policy
,不服判刑的上訴,不服判刑的上诉,appeal against sentence
,公正恰當的判刑,公正恰当的判刑,just and proper sentence
,可行的判刑選擇,可行的判刑选择,viable sentencing option
,同案被控人一同判刑,同案被控人一同判刑,simultaneous sentencing of co-accused
,合乎情理的判刑政策,合乎情理的判刑政策,sensible sentencing policy
,有效的判刑選擇,有效的判刑选择,valid sentencing option
,判刑,判刑,impose a sentence
,判刑,判刑,sentence
,判刑多少,判刑多少,quantum of sentence
,判刑完畢,判刑完毕,perfect the sentence
,判刑法官,判刑法官,sentencing judge
,判刑法院,判刑法院,sentencing court
,判刑者,判刑者,sentencer
,判刑前的報告,判刑前的报告,pre-sentencing report
,判刑前評估專責小組,判刑前评估专责小组,pre-sentence assessment panel
,判刑指引,判刑指引,sentencing guideline
,判刑原則,判刑原则,sentencing principles
,判刑差異,判刑差异,disparity in sentence
,判刑時須考慮的事宜,判刑时须考虑的事宜,sentencing considerations
,判刑起點,判刑起点,starting point
,判刑程序,判刑程序,sentencing procedure
,判刑等級,判刑等级,scale of sentencing
,判刑量,判刑量,quantum of sentence
,判刑準則,判刑准则,tariff
,判刑慣例,判刑惯例,sentencing practice
,判刑範圍,判刑范围,sentencing range
,判刑選擇,判刑选择,sentencing option
,判刑證明書,判刑证明书,certificate of sentences
,判刑權限,判刑权限,sentencing jurisdiction
,押後判刑,押后判刑,defer sentence
,基本的判刑基準,基本的判刑基准,basic tariff in sentencing
,將……的判刑與……的量刑基準掛鈎,将……的判刑与……的量刑基准挂钩,sentence for ... be pegged to tariffs for ...
,最低判刑級別,最低判刑级别,lowest band
,最高判刑權限,最高判刑权限,maximum sentencing jurisdiction
,罪行與判刑必須相稱的法則,罪行与判刑必须相称的法则,the principle ... proportionality between offence and sentence
,較輕的判刑選擇,较轻的判刑选择,softer option
,慣常判刑,惯常判刑,customary sentence
,慣常的判刑幅度,惯常的判刑幅度,customary range of sentence
,寬大的判刑,宽大的判刑,lenient sentence
,懲罰性判刑,惩罚性判刑,exemplary sentence
判决,有疏漏的判決,有疏漏的判决,per incuriam
,判決,判决,adjudication
,宣布一項判決,宣布一项判决,handing down a judgment
,宣布判決……的理由,宣布判决……的理由,handing down reasons for judgment
,宣告判決,宣告判决,delivery of the judgment
判决书,判決書,判决书,judgment
判例,判例,判例,case law
,具說服力的判例,具说服力的判例,persuasive authority
判处,判處刑罰證明書,判处刑罚证明书,certificate of sentence
,判處即時監禁,判处即时监禁,immediate custodial sentence
判给,判給訟費,判给讼费,award of costs
判词,口述判詞,口述判词,oral judgment
,口頭判詞,口头判词,oral judgment
,判詞,判词,judgment
,判詞主旨,判词主旨,ratio decidendi
,判詞旁論,判词旁论,obiter dictum
,法官的判詞,法官的判词,per cur [per curiam]
,宣讀判詞,宣读判词,delivery of the judgment
判罚,可行和可供考慮的判罰方式,可行和可供考虑的判罚方式,feasible sentencing option
,判罰處理方法,判罚处理方法,sentencing approach
判断,判斷是否知情的客觀標準,判断是否知情的客观标准,objective test of knowledge
利害关系,有充分利害關係的人,有充分利害关系的人,properly interested person
利益,希望得到利益,希望得到利益,hope of advantage
,疑點的利益,疑点的利益,benefit of ... doubt
,維護個人利益的供詞,维护个人利益的供词,self-serving statement
利率,過高利率,过高利率,excessive interest rates
助控,助控證據,助控证据,supporting evidence
努力,以合理的努力作為免責辯護,以合理的努力作为免责辩护,defence of reasonable diligence
,合理努力,合理努力,reasonable diligence
即时,令其即時釋放的刑期,令其即时释放的刑期,sentence that allowed immediate release
,判處即時監禁,判处即时监禁,immediate custodial sentence
,即時及長期監禁,即时及长期监禁,immediate and long-term prison sentence
,即時監禁刑罰,即时监禁刑罚,immediate custodial sentence
否决,案例遭否決,案例遭否决,case reversed
否定,否定的聲言,否定的声言,negative averments
否认,否認控罪,否认控罪,plea of not guilty
呈述,以案件呈述方式上訴,以案件呈述方式上诉,appeal by way of case stated
,以案件呈述方式提出的法律問題,以案件呈述方式提出的法律问题,case stated question
,呈述,呈述,submit
,呈述的法律問題,呈述的法律问题,stated question of law
,案件呈述,案件呈述,case stated
呈堂,申請查閱對方準備呈堂的文件及證物表,申请查阅对方准备呈堂的文件及证物表,discovery
呈报,須呈報的死亡個案,须呈报的死亡个案,reportable death
呈请,不公平損害呈請,不公平损害呈请,unfair prejudice petition
告发,欠妥的告發書,欠妥的告发书,defective information
,提出告發,提出告发,lay an information
含糊不清,含糊不清的認罪,含糊不清的认罪,equivocal plea
妨扰,對公眾的妨擾,对公众的妨扰,public nuisance
妨碍,企圖妨礙司法公正,企图妨碍司法公正,attempt to pervert the course of public justice
,串謀作出傾向並意圖妨礙司法公正的作為,串谋作出倾向并意图妨碍司法公正的作为,conspiracy to do an act or acts tending and intended to pervert the course of public justice
,串謀妨礙司法公正,串谋妨碍司法公正,conspiracy to pervert the course of justice
,作出傾向並意圖妨礙司法公正的作為,作出倾向并意图妨碍司法公正的作为,doing an act tending and intended to pervert the course of public justice
妥善,不存偏見且得到妥善指引的陪審團,不存偏见且得到妥善指引的陪审团,unprejudiced jury properly directed
完毕,判刑完畢,判刑完毕,perfect the sentence
完备,完備上訴理由,完备上诉理由,perfected grounds of appeal
,完備上訴理由書,完备上诉理由书,perfected grounds of appeal
,移交命令完備,移交命令完备,the transfer order ... perfected
完整,完整罪行,完整罪行,full offence
希望,希望得到利益,希望得到利益,hope of advantage
形式,法律程序……以非公開形式進行,法律程序……以非公开形式进行,proceedings ... conducted ... in camera
抗拒,無可抗拒的推斷,无可抗拒的推断,irresistible inference
抗辩,抗辯,抗辩,defence
,提出抗辯的案件,提出抗辩的案件,contested case
抗辩理由,第二線的抗辯理由,第二线的抗辩理由,second line of defence
抗辩理据,抗辯理據,抗辩理据,defence
技术,技術上干犯罪行,技术上干犯罪行,technical offence
,技術上違反法律,技术上违反法律,technical breach of the law
,技術因素,技术因素,technicality
,技術性問題,技术性问题,technicality
,技術違規,技术违规,technical breach
投注,投注人,投注人,punter
,投注者,投注者,punter
投诉,有合理的投訴或抱怨,有合理的投诉或抱怨,legitimate sense of grievance
,近期投訴,近期投诉,recent complaint
改为,改為認罪,改为认罪,reversal of plea
改造,更生改造,更生改造,rehabilitative treatment
改变,改變答辯,改变答辩,reversal of plea
更不用说,更不用說,更不用说,a fortiori
更生,更生改造,更生改造,rehabilitative treatment
更改,更改命令,更改命令,variation of order
材料,未經使用的材料,未经使用的材料,unused material
步骤,一切合理步驟,一切合理步骤,all reasonable steps
求情,有力的求情因素,有力的求情因素,strong mitigating circumstances
,求情的因素,求情的因素,mitigating circumstances
决定,不利的決定,不利的决定,adverse decision
,行政酌情決定,行政酌情决定,executive discretion
,決定因素,决定因素,determining factor
,非正審決定,非正审决定,interlocutory decision
,酌情決定,酌情决定,discretion
,經考慮兼知情的決定,经考虑兼知情的决定,deliberate and informed decision
没收,沒收財產聆訊,没收财产聆讯,forfeiture hearing
,擔保……沒收,担保……没收,recognizances ... estreated
没收令,沒收令,没收令,confiscation order
,沒收令,没收令,forfeiture order
没有,沒有支持的證據,没有支持的证据,unsupported evidence
,沒有好的成功機會的上訴案件,没有好的成功机会的上诉案件,unmeritorious appeal
,沒有足夠證據,没有足够证据,insufficient evidence
,沒有披露,没有披露,non-disclosure
,沒有爭議的案情,没有争议的案情,facts not in dispute
,沒有爭議的案情,没有争议的案情,undisputed facts
,沒有悔意,没有悔意,absence of remorse
狂暴,在道路上作出狂暴行為,在道路上作出狂暴行为,road rage
社交,社交性質的販毒,社交性质的贩毒,social trafficking
社会,社會服務令報告,社会服务令报告,community service order report
社团,三合會社團的集會,三合会社团的集会,meeting of a triad society
,關於……三合會社團的……字據,关于……三合会社团的……字据,writings ... relating to ... triad society
肛交,與21歲以下女童作出肛交,与21岁以下女童作出肛交,buggery with girl under 21
良好,正面的良好品格,正面的良好品格,positive good character
,良好品格,良好品格,good character
,良好品格指引,良好品格指引,good character direction
,良好品格指引,良好品格指引,direction on good character
,簽保以保證保持行為良好,签保以保证保持行为良好,bind over to be of good behaviour
良知,對公眾良知的公然冒犯,对公众良知的公然冒犯,affront to the public conscience
初犯,成年的初犯者,成年的初犯者,first offender of full age
,初犯者,初犯者,first offenders
言行,言行舉止,言行举止,demeanour
足够,沒有足夠證據,没有足够证据,insufficient evidence
身分,身分,身分,persona
身世背景,身世背景書,身世背景书,antecedent statement
身体,身體受嚴重傷害,身体受严重伤害,grievous bodily harm
,襲擊他人致造成身體傷害,袭击他人致造成身体伤害,assault occasioning actual bodily harm
防止,有防止犯罪作用的司法措施,有防止犯罪作用的司法措施,preventive justice
事主,事主,事主,complainant
事件,“同一事件” 的原則,“同一事件” 的原则,one-transaction rule
事宜,刑事訟案及事宜,刑事讼案及事宜,criminal causes and matters
,判刑時須考慮的事宜,判刑时须考虑的事宜,sentencing considerations
事后,事後的,事后的,ex post facto
事项,附帶事項,附带事项,collateral issue
,附屬事項,附属事项,collateral issue
事实,不爭事實,不争事实,facts not in dispute
,不爭事實,不争事实,undisputed facts
,互相矛盾的事實陳述,互相矛盾的事实陈述,contradictory statements of fact
,同意的事實,同意的事实,agreed facts
,事實,事实,de facto
,事實的推論,事实的推论,inference of fact
,事實昭顯,事实昭显,res ipsa loquitur
,事實情節複雜,事实情节复杂,factual complexity
,事實審裁者,事实审裁者,tribunal of fact
,承認事實書,承认事实书,statement of admitted facts
,承認事實通知書,承认事实通知书,notice to admit facts
,捏造事實,捏造事实,concoction
,案件的基礎事實,案件的基础事实,primary facts of the case
,基礎事實,基础事实,primary facts
,從事實上作一個可推翻的假定,从事实上作一个可推翻的假定,rebuttable presumption of facts
,控辯雙方承認的事實,控辩双方承认的事实,admitted facts
,對事實的裁斷,对事实的裁断,finding of fact
,類同事實證據,类同事实证据,similar fact evidence
享有,享有特權和備受信任的地位,享有特权和备受信任的地位,privileged and trusted position
使用,未經使用的材料,未经使用的材料,unused material
,實際使用暴力,实际使用暴力,actual violence
供词,自願供詞,自愿供词,voluntary statement
,招認供詞,招认供词,confession statement
,非自願作出的供詞,非自愿作出的供词,involuntary statement
,混合供詞,混合供词,mixed statement
,混合書面供詞,混合书面供词,mixed deposition
,開脫罪責的供詞,开脱罪责的供词,exculpatory statement
,維護個人利益的供詞,维护个人利益的供词,self-serving statement
,質疑供詞的採納性的權利,质疑供词的采纳性的权利,right to challenge admissibility
,警誡供詞,警诫供词,cautioned statement
供认,自願供認,自愿供认,voluntary confession
例外,例外情況,例外情况,exceptional circumstances
,例外罪行,例外罪行,excepted offence
儿童,兒童在未經宣誓下所作的證供,儿童在未经宣誓下所作的证供,unsworn testimony of child
,兒童證人的作證資格,儿童证人的作证资格,competency of a child witness
具有,可具有採取適當行動的權力的人,可具有采取适当行动的权力的人,person who may have power to take appropriate action
具体,具體的裁斷,具体的裁断,specific finding
,具體理由,具体理由,positive reason
典据,一系列相關的典據,一系列相关的典据,line of authorities
,主要典據,主要典据,leading authority
,典據列表,典据列表,list of authorities
刻意,刻意,刻意,calculated
制度,對辯式訴訟的司法制度,对辩式诉讼的司法制度,adversarial system of justice
协助,協助及教唆,协助及教唆,aiding and abetting
,相互提供司法協助,相互提供司法协助,mutual judicial assistance
协从,協從,协从,accessory to
,協從一方,协从一方,secondary party
协议,明示或默示協議,明示或默示协议,expressly or tacitly agreed
取用,有犯罪或不誠實意圖而取用電腦,有犯罪或不诚实意图而取用电脑,access to computer with criminal or dishonest intent
取向,量刑取向,量刑取向,sentencing approach
取消,取消駕駛資格令,取消驾驶资格令,disqualification order
,被取消駕駛資格,被取消驾驶资格,disqualification
,駕駛資格取消期間,驾驶资格取消期间,disqualification period
取得,串謀將人強行帶走或禁錮而意圖取得贖金,串谋将人强行带走或禁锢而意图取得赎金,conspiracy to forcibly take away or detain a person with intent to procure a ransom
受屈,有合理理由感到受屈,有合理理由感到受屈,legitimate sense of grievance
受损,害怕受損,害怕受损,fear of prejudice
受惊,意圖使……受驚,意图使……受惊,intent to alarm
命令,不服命令的上訴,不服命令的上诉,appeal against ... order
,不服釋放命令的上訴,不服释放命令的上诉,appeal from order for discharge
,同期執行的命令,同期执行的命令,concurrent order
,更改命令,更改命令,variation of order
,定額款項命令,定额款项命令,fixed sum order
,保釋命令,保释命令,order for bail
,針對……命令提出上訴,针对……命令提出上诉,appeal against ... order
,推翻……命令,推翻……命令,quash ... order
,移交命令完備,移交命令完备,the transfer order ... perfected
,復還財產的命令,复还财产的命令,order for the restitution of property
,虛耗訟費命令,虚耗讼费命令,wasted costs orders
,實質命令,实质命令,substantive order
,撤銷保釋命令,撤销保释命令,revoke order for bail
,暫准訟費命令,暂准讼费命令,costs order nisi
,簽保命令,签保命令,bind-over order
,屬宣布性質的……命令,属宣布性质的……命令,declaratory ... order
固有,固有司法管轄權,固有司法管辖权,inherent jurisdiction
,固有的不可能性,固有的不可能性,inherent improbability
固定,固定刑期,固定刑期,fixed term
妻子,普通法妻子,普通法妻子,common law wife
委员会,司法人員培訓委員會標準指引,司法人员培训委员会标准指引,standard Judicial Studies Board direction
宗卷,上訴宗卷,上诉宗卷,appeal bundle
定罪,不服定罪的上訴,不服定罪的上诉,appeal against conviction
,有合理的定罪機會,有合理的定罪机会,reasonable prospect of a conviction
,定罪已失時效計劃,定罪已失时效计划,spent conviction scheme
,定罪是否恰當問題,定罪是否恰当问题,propriety of conviction
,定罪紀錄,定罪纪录,conviction record
,法庭定罪,法庭定罪,court conviction
,針對定罪的上訴,针对定罪的上诉,appeal against conviction
,無定罪紀錄,无定罪纪录,clear record
定额,定額款項命令,定额款项命令,fixed sum order
官方,在官方機構看管下,在官方机构看管下,in official custody
,受官方看管,受官方看管,in official custody
店铺,店舖盜竊,店铺盗窃,shoplifting
延讯,准予延訊,准予延讯,leave to adjourn
延期,延期,延期,adjournment
性交,串謀促致年齡在21歲以下的女童與人非法性交,串谋促致年龄在21岁以下的女童与人非法性交,conspiracy to procure girls under 21 to have unlawful sexual intercourse
性行为,以威脅促致他人作非法的性行為,以威胁促致他人作非法的性行为,procurement by threats
,以虛假藉口促致他人作非法的性行為,以虚假借口促致他人作非法的性行为,procurement by false pretences
,施用藥物以獲得……非法的性行為,施用药物以获得……非法的性行为,administering drugs to obtain ... unlawful sexual act
性侵犯,受到……性侵犯,受到……性侵犯,sexually abused
,性侵犯,性侵犯,sexual assault
性格,性格上無能力,性格上无能力,disability of personality
,性格失常,性格失常,disorder ... of personality
性质,社交性質的販毒,社交性质的贩毒,social trafficking
,商業性質的販毒,商业性质的贩毒,commercial trafficking
,屬宣布性質的……命令,属宣布性质的……命令,declaratory ... order
,屬宣布性質的濟助,属宣布性质的济助,declaratory relief
性骚扰,受到性騷擾,受到性骚扰,sexually molested
,被性騷擾,被性骚扰,sexually molested
或然率,內在或然率,内在或然率,inherent probabilities
所有,在所有關鍵時候,在所有关键时候,at all material times
所涉,所涉的爭論點,所涉的争论点,issues involved
承认,口頭承認,口头承认,verbal admission
,已承認的謊言,已承认的谎言,admitted lie
,正式承認有罪,正式承认有罪,formal admission of guilt
,承認,承认,admission
,承認事實書,承认事实书,statement of admitted facts
,承認事實通知書,承认事实通知书,notice to admit facts
,承認控罪,承认控罪,plea of guilty
,承認罪責,承认罪责,inculpatory admission
,空洞的承認,空洞的承认,bald admission
,控辯雙方承認的事實,控辩双方承认的事实,admitted facts
招徕,招徠,招徕,touting
招认,口頭招認,口头招认,oral confession
,招認,招认,confession
,招認口供,招认口供,confession statement
,招認供詞,招认供词,confession statement
,招認的可接納性,招认的可接纳性,admissibility of confession
,招認是否可接納為證據,招认是否可接纳为证据,admissibility of confession
,牽連罪責的招認,牵连罪责的招认,incriminating admission
押后,押後判刑,押后判刑,defer sentence
披露,文件及資料的披露,文件及资料的披露,discovery
,未有披露,未有披露,non-disclosure
,全面而真實地披露,全面而真实地披露,full and true disclosure
,沒有披露,没有披露,non-disclosure
抱怨,有充分理由的抱怨,有充分理由的抱怨,justifiable sense of grievance
,有合理的投訴或抱怨,有合理的投诉或抱怨,legitimate sense of grievance
拘押令,拘押令,拘押令,committal order
拘捕,拘捕人員,拘捕人员,arresting officer
放弃,放棄上訴,放弃上诉,abandonment of appeal
,放棄上訴通知,放弃上诉通知,notice of abandonment
易受伤害,易受傷害證人,易受伤害证人,vulnerable witness
明示,明示或默示協議,明示或默示协议,expressly or tacitly agreed
,明示或默然同意,明示或默然同意,expressly or tacitly agreed
明确,明確……罪行,明确……罪行,specific offence
,明確的認罪,明确的认罪,unequivocal guilty plea
,明確認出,明确认出,positive identification
明了,令人明瞭的證供,令人明了的证供,intelligible testimony
明显,明顯不足,明显不足,manifestly inadequate
,明顯欠缺論據的陳詞,明显欠缺论据的陈词,patently unarguable submission
,明顯失職行為,明显失职行为,flagrant and incompetent conduct
,明顯地失職,明显地失职,flagrantly incompetent
